Brand,Store Number,Store Name,Ownership Type,Street Address,City,State/Province,Country,Postcode,Phone Number,Timezone,Longitude,Latitude
Starbucks,47370-257954,"Meritxell, 96",Licensed,"Av. Meritxell, 96",Andorra la Vella,7,AD,AD500,376818720,GMT+1:00 Europe/Andorra,1.53,42.51
Starbucks,22331-212325,Ajman Drive Thru,Licensed,"1 Street 69, Al Jarf",Ajman,AJ,AE,,,GMT+04:00 Asia/Dubai,55.47,25.42
Starbucks,47089-256771,Dana Mall,Licensed,Sheikh Khalifa Bin Zayed St.,Ajman,AJ,AE,,,GMT+04:00 Asia/Dubai,55.47,25.39
Starbucks,22126-218024,Twofour 54,Licensed,Al Salam Street,Abu Dhabi,AZ,AE,,,GMT+04:00 Asia/Dubai,54.38,24.48
Starbucks,17127-178586,Al Ain Tower,Licensed,"Khaldiya Area, Abu Dhabi Island",Abu Dhabi,AZ,AE,,,GMT+04:00 Asia/Dubai,54.54,24.51
Starbucks,17688-182164,"Dalma Mall, Ground Floor",Licensed,"Dalma Mall, Mussafah",Abu Dhabi,AZ,AE,,,GMT+04:00 Asia/Dubai,54.49,24.4
Starbucks,18182-182165,"Dalma Mall, Level 1",Licensed,"Dalma Mall, Mussafah",Abu Dhabi,AZ,AE,,,GMT+04:00 Asia/Dubai,54.49,24.4
Starbucks,23359-229184,Debenhams Yas Mall,Licensed,Yas Island,Abu Dhabi,AZ,AE,,,GMT+04:00 Asia/Dubai,54.61,24.46
Starbucks,30781-99022,Khalidiya Street,Licensed,Khalidiya St.,Abu Dhabi,AZ,AE,,26670052,GMT+04:00 Asia/Muscat,55.69,24.19
Starbucks,20423-205465,Eastern Mangroves,Licensed,"Al Salam Street, The Mangroves",Abu Dhabi,AZ,AE,,,GMT+04:00 Asia/Dubai,54.38,24.48
Starbucks,20424-205466,Nation Towers,Licensed,Corniche Street,Abu Dhabi,AZ,AE,,,GMT+04:00 Asia/Dubai,54.34,24.47
Starbucks,1579-122101,HCT Abu Dhabi Women's College Block,Licensed,"Najda Street, Higher Colleges of Technology",Abu Dhabi,AZ,AE,3167,26426280,GMT+04:00 Asia/Dubai,54.37,24.49
Starbucks,32595-122105,Standard Chartered Building,Licensed,"Khalidiya St., Beside Union Cooperative Society",Abu Dhabi,AZ,AE,3167,26359275,GMT+04:00 Asia/Muscat,55.69,24.19
Starbucks,24191-236428,International Tower,Licensed,"Capital Center, Adnec, Abu Dhabi",Abu Dhabi,AZ,AE,,,GMT+04:00 Asia/Dubai,54.7,24.3
Starbucks,24604-238367,Yas Mall 3,Licensed,YAS Island,Abu Dhabi,AZ,AE,,,GMT+04:00 Asia/Dubai,54.6,24.48
Starbucks,32029-110804,Blue Tower A,Licensed,"Street No.4, Muroor Road, Ground Floor",Abu Dhabi,AZ,AE,,26429255,GMT+04:00 Asia/Muscat,55.74,24.21
Starbucks,29560-238539,Corniche Park DT,Licensed,"Corniche  Road , Abu Dhabi",Abu Dhabi,AZ,AE,,,GMT+04:00 Asia/Dubai,54.34,24.47
Starbucks,32239-100001,Khalidiya Mall,Licensed,"Street No.26 of Khalidiya Area, Ground Floor, Shop No. A11",Abu Dhabi,AZ,AE,,26354740,GMT+04:00 Asia/Dubai,54.35,24.47
Starbucks,31719-103601,Al Wahda Mall,Licensed,"11th Street, Ground Floor, Main Entrance",Abu Dhabi,AZ,AE,,24437197,GMT+04:00 Asia/Dubai,54.37,24.47
Starbucks,20008-200004,Al Seef Village,Licensed,"Salam Street, Ministries District",Abu Dhabi,AZ,AE,,,GMT+04:00 Asia/Dubai,54.38,24.48
Starbucks,32767-131566,Shangri-La Souq,Licensed,"Shangri-La Souk, Um Al Nar",Abu Dhabi,AZ,AE,3167,25581641,GMT+04:00 Asia/Dubai,54.51,24.42
Starbucks,3886-141408,"Abu Dhabi University, Men's",Licensed,"Muroor Street, Abu Dhabi Mall",Abu Dhabi,AZ,AE,,24433824,GMT+04:00 Asia/Dubai,54.35,24.46
Starbucks,29539-254261,MUshrif Mall 1,Licensed,"25th st, Airport Road",Abu Dhabi,AZ,AE,971,,GMT+04:00 Asia/Dubai,54.66,24.41
Starbucks,28809-251348,Boutik Mall Sun & Sky,Licensed,"Shams Abu Dhabi, Al Reem Island",Abu Dhabi,AZ,AE,,,GMT+04:00 Asia/Dubai,54.41,24.5
Starbucks,34262-62540,Marina Mall,Licensed,Marina Mall,Abu Dhabi,AZ,AE,,02-6815883,GMT+04:00 Asia/Dubai,54.32,24.47
Starbucks,3178-141407,"Abu Dhabi University, Women's",Licensed,"Road Al Ain Abu Dhabi Road Number 22, Women Side",Abu Dhabi,AZ,AE,,25860492,GMT+04:00 Asia/Dubai,54.57,24.35
Starbucks,34260-17877,Hamdan Street,Licensed,Hamdan Street,Abu Dhabi,AZ,AE,,02-6261001,GMT+04:00 Asia/Muscat,55.62,24.21
Starbucks,21605-213406,Saadiyat Island,Licensed,Saadiyat Island,Abu Dhabi,AZ,AE,,,GMT+04:00 Asia/Dubai,54.44,24.54
Starbucks,1935-141406,Camellia Flowers,Licensed,"Khalidiya Area Khalidiya street, Behind Union Bank and Finance House",Abu Dhabi,AZ,AE,,02-6355542,GMT+04:00 Asia/Dubai,54.34,24.47
Starbucks,20113-195784,Deerfields,Licensed,"Sheikh Zayed Road, Al Bahia Area",Abu Dhabi,AZ,AE,,,GMT+04:00 Asia/Dubai,54.94,24.9
Starbucks,34227-33225,Abu Dhabi Mall,Licensed,"Al Salam Street, Tourist Club Area",Abu Dhabi,AZ,AE,,02-6454914,GMT+04:00 Asia/Dubai,54.37,24.5
Starbucks,17361-180588,Zayed University,Licensed,Corner of 16th Street and Aiport Road,Abu Dhabi,AZ,AE,,,GMT+04:00 Asia/Dubai,54.6,24.4
Starbucks,15938-165686,Bawabat Al Sharq,Licensed,Corner Al Ain Rd & Baniyas Rd,Abu Dhabi,AZ,AE,,,GMT+04:00 Asia/Muscat,55.77,24.48
Starbucks,16453-170544,Guardian Tower,Licensed,"31st Street, Danat Abu Dhabi",Abu Dhabi,AZ,AE,,02 6414214,GMT+04:00 Asia/Dubai,54.44,24.43
Starbucks,24085-235545,Ferrari World Welcome Pavilion,Licensed,Yas Island,Abu Dhabi,AZ,AE,,,GMT+04:00 Asia/Dubai,54.61,24.46
Starbucks,24932-239347,Al Mamoura,Licensed,"Al Mamoura, Al Muroor District",Abu Dhabi,AZ,AE,51133,,GMT+04:00 Asia/Dubai,54.39,24.46
Starbucks,18469-188844,Ministry of Interior,Licensed,Khaleej Al Arabi Street,Abu Dhabi,AZ,AE,,,GMT+04:00 Asia/Dubai,54.39,24.43
Starbucks,28810-251346,ADNOC Mushrif,Licensed,Airport Road,Abu Dhabi,AZ,AE,,,GMT+04:00 Asia/Dubai,54.66,24.41
Starbucks,1897-120044,Twin Towers 13th Street,Licensed,"3th street Abudhabi (Al Najda Street), Beside Al Masood Nissan Show Room",Abu Dhabi,AZ,AE,,26430239,GMT+04:00 Asia/Dubai,55.53,23.85
Starbucks,20772-207664,Al Falah Community,Licensed,Al Falah Village 2 Centre,Abu Dhabi,AZ,AE,,,GMT+04:00 Asia/Dubai,54.37,24.47
Starbucks,2176-143834,Abu Dhabi Police HQ,Licensed,13th Street,Abu Dhabi,AZ,AE,,02 4093231,GMT+04:00 Asia/Dubai,54.37,24.52
Starbucks,18530-169885,Western Region,Licensed,"Liwa Road, Madinat Zayed",Abu Dhabi,AZ,AE,,,GMT+04:00 Asia/Dubai,54.37,24.48
Starbucks,24931-239348,Raha Garden,Licensed,Raha Gardens Plaza,Abu Dhabi,AZ,AE,51133,,GMT+04:00 Asia/Dubai,54.37,24.47
Starbucks,29306-253248,Al Ain Ladies Club,Licensed,"Al Markhaniya , Al Ain, Al Markhaniya, Al Ain",Al Ain,AZ,AE,,,GMT+04:00 Asia/Muscat,55.4,24.12
Starbucks,17291-169884,Jahli Park,Licensed,"Sheikh Khalifa Bin Zayed Road, Jahli",Al Ain,AZ,AE,,,GMT+04:00 Asia/Dubai,55.29,25.24
Starbucks,32640-131563,Tawam Hospital,Licensed,"Al Ain Abu Dhabi Rd, Khalifa Bin Zayed, Al Makam Area",Al Ain,AZ,AE,3167,37677581,GMT+04:00 Asia/Muscat,55.65,24.19
Starbucks,34332-97778,Jimmy Mall,Licensed,"Baladia Road, Opposite Passport Office",Al Ain,AZ,AE,,37627680,GMT+04:00 Asia/Muscat,55.73,24.24
Starbucks,16257-166109,Al Ain Mall,Licensed,City Road,Al Ain,AZ,AE,,03 7849281,GMT+04:00 Asia/Dubai,55.39,25.1
Starbucks,1926-141411,Bawadi Mall,Licensed,Maziad Road After Hilton Roundabout,Al Ain,AZ,AE,,37840012,GMT+04:00 Asia/Muscat,55.81,24.16
Starbucks,24510-238164,Wahat Hili Mall,Licensed,"Unit RA 029, Wahat Hili Mall, Baniyas Street, Hili District",Al Ain,AZ,AE,,,GMT+04:00 Asia/Muscat,55.69,24.21
Starbucks,17788-183965,Oasis Hospital,Licensed,"Al Ain Street, Al Jahli",Al Ain,AZ,AE,,,GMT+04:00 Asia/Muscat,55.8,24.13
Starbucks,22963-226644,YAS Mall,Licensed,"Yas Island, Abu Dhabi",Abu Dhabi,DU,AE,,,GMT+04:00 Asia/Dubai,54.47,24.41
Starbucks,23197-228761,Al Ruwais Mall,Licensed,Al Ruwais,Abu Dhabi,DU,AE,,,GMT+04:00 Asia/Dubai,54.63,24.29
Starbucks,23549-231166,Shamkha Mall,Licensed,Al Shamkha,Abu Dhabi,DU,AE,,,GMT+04:00 Asia/Dubai,54.69,24.39
Starbucks,15060-156348,Al Barsha Commercial,Licensed,"Near Mall of Emirates, Ground Floor",Al Barsha,DU,AE,,44549383,GMT+04:00 Asia/Dubai,55.23,25.05
Starbucks,34291-80114,Umm Sequeim,Licensed,"Jumeirah, Near Spinney's",Dubai,DU,AE,,43952230,GMT+04:00 Asia/Dubai,55.23,25.17
Starbucks,27072-246650,Reel Cinema,Licensed,"Reel Cinema, Dubai Mall, Second Floor",Dubai,DU,AE,113444,,GMT+04:00 Asia/Muscat,55.6,24.78
Starbucks,18751-188904,Dubai Airport Concourse 3,Licensed,"Dubai Airport Rd, Terminal 3",Dubai,DU,AE,,,GMT+04:00 Asia/Dubai,55.35,25.25
Starbucks,18857-187024,City Walk - Dubai,Licensed,"Safa Street, Jumeirah 1, Jumeirah District",Dubai,DU,AE,,,GMT+04:00 Asia/Dubai,55.31,25.27
Starbucks,28908-251804,DIFC 2,Licensed,DIFC Building No. 5,Dubai,DU,AE,,,GMT+04:00 Asia/Dubai,55.16,25.1
Starbucks,32250-107405,The Residence Tower 1,Licensed,Down Town Burj,Dubai,DU,AE,,44200636,GMT+04:00 Asia/Dubai,55.27,25.19
Starbucks,34211-17922,Emirates Tower,Licensed,Sheikh Zayed Road,Dubai,DU,AE,,04-3303363,GMT+04:00 Asia/Dubai,55.28,25.21
Starbucks,34315-87671,Dubai Marina,Licensed,Sheik Zayed,Dubai,DU,AE,,04-3675468,GMT+04:00 Asia/Dubai,55.15,25.08
Starbucks,23213-228760,Dubai Airport - Concourse D West,Licensed,Dubai Airport,Dubai,DU,AE,,,GMT+04:00 Asia/Dubai,55.35,25.25
Starbucks,30780-154130,Mall of the Emirates - Ski #2,Licensed,"Near MOE Ski Area, Shop No K01A, West End Food Court",Dubai,DU,AE,,43410034,GMT+04:00 Asia/Dubai,55.2,25.12
Starbucks,25406-240945,Bin Sougat,Licensed,"Al Khawaneej Road, Al Rashidiya",Dubai,DU,AE,10170,,GMT+04:00 Asia/Dubai,55.4,25.23
Starbucks,32329-111864,Old Town Amenity Building,Licensed,Burj Dubai,Dubai,DU,AE,,44309436,GMT+04:00 Asia/Dubai,55.28,25.19
Starbucks,32741-141410,Atlantis,Licensed,"Dubai Palm Island, Located in Dolphin Bay",Dubai,DU,AE,,44261435,GMT+04:00 Asia/Dubai,55.12,25.13
Starbucks,17787-183964,Jumeirah Beach Road,Licensed,"Jumeirah Beach Road, Villa 23",Dubai,DU,AE,,,GMT+04:00 Asia/Dubai,55.14,25.08
Starbucks,3183-143827,Oasis Centre,Licensed,"Shaikh Zayed Road, Ground Floor",Dubai,DU,AE,,43307155,GMT+04:00 Asia/Dubai,55.24,25.17
Starbucks,32571-107873,Jumeirah Beach Residence 3 P24a,Licensed,"Jumeirah Beach Residence, Opposite right side Dubai Hilton Hotel",Dubai,DU,AE,,44355728,GMT+04:00 Asia/Dubai,55.13,25.07
Starbucks,23973-234507,Dubai Airport T1 Landside Departure,Licensed,"Airport Road, Dubai Airport, Terminal 1",Dubai,DU,AE,,,GMT+04:00 Asia/Dubai,55.31,25.27
Starbucks,32144-123448,Old Town Commercial Island,Licensed,"Burj Dubai Down Town, Level 3",Dubai,DU,AE,3167,44200343,GMT+04:00 Asia/Dubai,55.28,25.19
Starbucks,34219-17920,Al Gurrair Mall,Licensed,Deira- Riqqa Street,Dubai,DU,AE,,04-2212559,GMT+04:00 Asia/Dubai,55.32,25.27
Starbucks,32476-106835,Jumeirah Beach Residence 6 GM10,Licensed,"Jumeirah Beach Residence, Opposite Sheraton Hotel Dubai",Dubai,DU,AE,,44233862,GMT+04:00 Asia/Dubai,55.13,25.07
Starbucks,7073-204444,Atlantis The Avenues,Licensed,"Palm Jumeirah, Main Entrance of Atlantis Avenue",Dubai,DU,AE,,44573106,GMT+04:00 Asia/Dubai,55.12,25.13
Starbucks,18026-187444,Jumeirah Villa,Licensed,"Al Mehemal Street, Jumeirah 2",Dubai,DU,AE,,,GMT+04:00 Asia/Dubai,55.23,25.19
Starbucks,34284-65720,Mercato Town Centre,Licensed,Jumeira Road,Dubai,DU,AE,,04-3449611,GMT+04:00 Asia/Dubai,55.25,25.22
Starbucks,32117-116426,Emaar Business Park,Licensed,"Dubai Marina after Mall of Emirates, 3rd Bldg,  Gr Floor, Near Main Entrance",Dubai,DU,AE,,44224888,GMT+04:00 Asia/Dubai,55.17,25.1
Starbucks,20347-204885,DBX - Term 2 Landside,Licensed,Terminal 1 Departure Gate 1,Dubai,DU,AE,,,GMT+04:00 Asia/Dubai,55.31,25.27
Starbucks,49595-270099,DED,Licensed,"Dubai economic department, near to clock tower round about, Deira",Dubai,DU,AE,0,,GMT+04:00 Asia/Dubai,55.33,25.26
Starbucks,32292-111724,Burj Dubai Business Park,Licensed,"Building 4, Ground Floor",Dubai,DU,AE,,44257991,GMT+04:00 Asia/Dubai,55.27,25.2
Starbucks,4141-147544,Motor City,Licensed,"near Fox Hill 2, next to Spinney¿s Supermarket",Dubai,DU,AE,,44475527,GMT+04:00 Asia/Dubai,55.24,25.05
Starbucks,21600-213424,ENOC 1001,Licensed,"Al Quds St, Al Tawar",Dubai,DU,AE,,,GMT+04:00 Asia/Dubai,55.35,25.27
Starbucks,47514-254743,Riverland,Licensed,Sheik Zayed Rd,Dubai,DU,AE,,,GMT+04:00 Asia/Dubai,55.19,25.11
Starbucks,26471-239345,Me'Aissem City Center,Licensed,MBU to provide,Dubai,DU,AE,,,GMT+04:00 Asia/Dubai,55.19,25.03
Starbucks,25879-242844,Etihad Mall,Licensed,"Etihad Mall, Al Khawaneej Road, Mirdif",Dubai,DU,AE,,,GMT+04:00 Asia/Dubai,55.42,25.23
Starbucks,6137-116711,Park Place Showmax,Licensed,"Jumeirah Beach Road, in front of Jumeirah Beach Park",Dubai,DU,AE,,43428399,GMT+04:00 Asia/Dubai,55.24,25.2
Starbucks,3173-122109,Arabian Centre,Licensed,"Plot 262-3104, Al Mizar First",Dubai,DU,AE,3167,04 2845433,GMT+04:00 Asia/Dubai,55.46,25.26
Starbucks,23212-228759,Dubai Airport - Concourse D East,Licensed,Dubai Airport,Dubai,DU,AE,,,GMT+04:00 Asia/Dubai,55.35,25.25
Starbucks,34335-97976,Gardens 3,Licensed,"Jebel Ali Gardens, Gardens III Tunisia Court",Dubai,DU,AE,,43685991,GMT+04:00 Asia/Dubai,55.12,25.04
Starbucks,1801-136467,Dubai Mall LG 118,Licensed,"Burj Dubai Boulevard, Sheikh Zayed Rd, Shop LG 118",Dubai,DU,AE,3167,43398434,GMT+04:00 Asia/Dubai,55.28,25.2
Starbucks,31199-104340,Deira City Center 4,Licensed,Deira,Dubai,DU,AE,,04-2948442,GMT+04:00 Asia/Dubai,55.33,25.25
Starbucks,31853-109684,Sahara Tower,Licensed,"Ground Floor, Sheikh Zayed Road",Dubai,DU,AE,,04 3316164,GMT+04:00 Asia/Dubai,55,24.92
Starbucks,28811-251347,Shindagha Centre,Licensed,Al Mina Road- Bur Duabi,Dubai,DU,AE,,,GMT+04:00 Asia/Dubai,55.28,25.24
Starbucks,6106-148051,Dubai Academic City,Licensed,"Academic City Rd, main food court area",Dubai,DU,AE,,44503886,GMT+04:00 Asia/Dubai,55.42,25.13
Starbucks,34317-95971,Madina Jumeirah,Licensed,Jumeirah,Dubai,DU,AE,,43686188,GMT+04:00 Asia/Dubai,55.19,25.13
Starbucks,32269-114734,21st Century Tower,Licensed,"Sheikh Zayed Road, Ground Floor",Dubai,DU,AE,,04-3250028,GMT+04:00 Asia/Dubai,55.28,25.21
Starbucks,34337-97975,Gardens 2,Licensed,"Jebel Ali Gardens, Gardens II China Court",Dubai,DU,AE,,43685986,GMT+04:00 Asia/Dubai,55.12,25.05
